Scenario,Protocol,Mode,PDR (%),Throughput (kbps),Avg Delay (ms),Service Restoration Latency (s),End-to-End Cluster Recovery (%),Sensor Recovery (%),Jain Fairness Index,CH Energy Consumed (J),CHs Depleted,Energy/Bit (J/bit),HB Detections,HB Mean Latency (s)
2,OLSR,GRAF-Global,82.00 ± 3.85 (95% CI ± 1.80) [n=20],9.48 ± 0.44 (95% CI ± 0.21) [n=20],3.66 ± 0.03 (95% CI ± 0.01) [n=20],2.55 ± 0.49 (95% CI ± 0.23) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],87.60 ± 7.99 (95% CI ± 3.74) [n=20],0.91 ± 0.02 (95% CI ± 0.01) [n=20],1.88 ± 0.03 (95% CI ± 0.02) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],7.363e-07 ± 3.371e-08 (95% CI ± 1.578e-08) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
2,OLSR,GRAF-Local,82.62 ± 3.37 (95% CI ± 1.58) [n=20],9.55 ± 0.39 (95% CI ± 0.18) [n=20],3.82 ± 0.27 (95% CI ± 0.13) [n=20],2.53 ± 0.47 (95% CI ± 0.22) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],99.80 ± 0.62 (95% CI ± 0.29) [n=20],0.90 ± 0.03 (95% CI ± 0.01) [n=20],1.88 ± 0.03 (95% CI ± 0.02) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],7.304e-07 ± 3.053e-08 (95% CI ± 1.429e-08) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
3,AODV,Baseline,50.48 ± 0.70 (95% CI ± 0.33) [n=20],5.83 ± 0.08 (95% CI ± 0.04) [n=20],3.54 ± 0.03 (95% CI ± 0.01) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.75 ± 0.02 (95% CI ± 0.01) [n=20],0.30 ± 0.01 (95% CI ± 0.00) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.925e-07 ± 4.122e-09 (95% CI ± 1.929e-09) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
3,AODV,GRAF-Global,75.08 ± 2.85 (95% CI ± 1.33) [n=20],8.68 ± 0.33 (95% CI ± 0.15) [n=20],3.59 ± 0.24 (95% CI ± 0.11) [n=20],2.48 ± 0.41 (95% CI ± 0.19) [n=20],95.71 ± 6.72 (95% CI ± 3.14) [n=20],81.64 ± 6.15 (95% CI ± 2.88) [n=20],0.89 ± 0.03 (95% CI ± 0.01) [n=20],0.30 ± 0.01 (95% CI ± 0.00) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.295e-07 ± 3.541e-09 (95% CI ± 1.657e-09) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
3,AODV,GRAF-Local,73.15 ± 2.77 (95% CI ± 1.30) [n=20],8.45 ± 0.32 (95% CI ± 0.15) [n=20],3.75 ± 0.36 (95% CI ± 0.17) [n=20],2.47 ± 0.40 (95% CI ± 0.19) [n=20],95.71 ± 6.72 (95% CI ± 3.14) [n=20],90.36 ± 5.28 (95% CI ± 2.47) [n=20],0.88 ± 0.03 (95% CI ± 0.01) [n=20],0.30 ± 0.01 (95% CI ± 0.00) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.330e-07 ± 4.670e-09 (95% CI ± 2.186e-09) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
3,OLSR,Baseline,50.98 ± 0.26 (95% CI ± 0.12) [n=20],5.89 ± 0.03 (95% CI ± 0.01) [n=20],4.06 ± 0.62 (95% CI ± 0.29) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.77 ± 0.00 (95% CI ± 0.00) [n=20],1.54 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],9.657e-07 ± 1.767e-08 (95% CI ± 8.270e-09) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
3,OLSR,GRAF-Global,75.58 ± 2.56 (95% CI ± 1.20) [n=20],8.74 ± 0.30 (95% CI ± 0.14) [n=20],3.68 ± 0.10 (95% CI ± 0.05) [n=20],2.48 ± 0.41 (95% CI ± 0.19) [n=20],95.71 ± 6.72 (95% CI ± 3.14) [n=20],81.64 ± 6.15 (95% CI ± 2.88) [n=20],0.90 ± 0.02 (95% CI ± 0.01) [n=20],1.54 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],6.518e-07 ± 1.691e-08 (95% CI ± 7.916e-09) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
3,OLSR,GRAF-Local,73.52 ± 2.64 (95% CI ± 1.24) [n=20],8.50 ± 0.31 (95% CI ± 0.14) [n=20],3.84 ± 0.30 (95% CI ± 0.14) [n=20],2.47 ± 0.40 (95% CI ± 0.19) [n=20],95.71 ± 6.72 (95% CI ± 3.14) [n=20],90.36 ± 5.28 (95% CI ± 2.47) [n=20],0.89 ± 0.02 (95% CI ± 0.01) [n=20],1.54 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],6.703e-07 ± 2.161e-08 (95% CI ± 1.011e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,AODV,Baseline,31.91 ± 2.80 (95% CI ± 1.31) [n=20],3.69 ± 0.32 (95% CI ± 0.15) [n=20],3.47 ± 0.03 (95% CI ± 0.01) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.44 ± 0.06 (95% CI ± 0.03) [n=20],0.36 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],3.648e-07 ± 6.354e-08 (95% CI ± 2.974e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,AODV,GRAF-Global,40.34 ± 4.55 (95% CI ± 2.13) [n=20],4.66 ± 0.53 (95% CI ± 0.25) [n=20],3.50 ± 0.03 (95% CI ± 0.01) [n=20],2.75 ± 0.63 (95% CI ± 0.29) [n=20],63.57 ± 11.79 (95% CI ± 5.52) [n=20],42.86 ± 8.13 (95% CI ± 3.81) [n=20],0.55 ± 0.07 (95% CI ± 0.03) [n=20],0.36 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],2.913e-07 ± 6.160e-08 (95% CI ± 2.883e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,AODV,GRAF-Local,40.19 ± 4.51 (95% CI ± 2.11) [n=20],4.64 ± 0.52 (95% CI ± 0.24) [n=20],3.50 ± 0.03 (95% CI ± 0.01) [n=20],2.67 ± 0.56 (95% CI ± 0.26) [n=20],60.00 ± 10.97 (95% CI ± 5.13) [n=20],44.36 ± 9.91 (95% CI ± 4.64) [n=20],0.55 ± 0.07 (95% CI ± 0.03) [n=20],0.36 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],2.926e-07 ± 6.298e-08 (95% CI ± 2.947e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,OLSR,Baseline,49.23 ± 3.30 (95% CI ± 1.54) [n=20],5.69 ± 0.38 (95% CI ± 0.18) [n=20],4.64 ± 0.34 (95% CI ± 0.16) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.75 ± 0.05 (95% CI ± 0.02) [n=20],1.26 ± 0.03 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],8.252e-07 ± 7.948e-08 (95% CI ± 3.720e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,OLSR,GRAF-Global,59.21 ± 5.74 (95% CI ± 2.69) [n=20],6.84 ± 0.66 (95% CI ± 0.31) [n=20],4.54 ± 0.32 (95% CI ± 0.15) [n=20],2.82 ± 0.63 (95% CI ± 0.29) [n=20],75.71 ± 10.47 (95% CI ± 4.90) [n=20],42.86 ± 8.13 (95% CI ± 3.81) [n=20],0.81 ± 0.06 (95% CI ± 0.03) [n=20],1.26 ± 0.03 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],6.899e-07 ± 8.879e-08 (95% CI ± 4.155e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
4,OLSR,GRAF-Local,59.55 ± 6.10 (95% CI ± 2.85) [n=20],6.88 ± 0.70 (95% CI ± 0.33) [n=20],4.56 ± 0.31 (95% CI ± 0.15) [n=20],2.83 ± 0.63 (95% CI ± 0.30) [n=20],75.00 ± 11.23 (95% CI ± 5.26) [n=20],44.36 ± 9.91 (95% CI ± 4.64) [n=20],0.81 ± 0.06 (95% CI ± 0.03) [n=20],1.26 ± 0.03 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],6.866e-07 ± 9.151e-08 (95% CI ± 4.283e-08) [n=20],7.00 ± 0.00 (95% CI ± N/A) [n=20],1.26 ± 0.07 (95% CI ± 0.03) [n=20]
